year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,quali_clean_laps
2018,9,OCO,78.364333,64.845,13.843272,9,13.519333,18.740444,34.871,24.752888,16.225,28.583,19.878,9
2018,9,GAS,74.43975,64.874,13.775926,8,9.56575,17.9875,32.801,23.65125,16.433,28.552,19.792,8
2018,9,LEC,75.655625,64.967,14.888655,8,10.688625,18.631,33.530375,23.49425,16.354,28.578,19.779,8
2018,9,ALO,74.215875,64.965,13.449624,8,9.250875,17.869125,32.636,23.71075,16.426,28.632,19.828,8
2018,9,STR,66.8218,65.264,3.140505,5,1.5577999999999999,16.5262,28.9282,21.3674,16.438,28.757,19.912,5
2018,9,VAN,74.6572,65.271,12.685618,5,9.3862,17.8208,33.0206,23.8158,16.515,28.874,19.882,5
2018,9,PER,75.758,65.279,14.769797,5,10.479,18.4846,34.6342,22.6392,16.271,28.936,20.017,5
2018,9,SIR,65.322,65.322,0.0,1,0.0,16.523,28.971,19.828,16.523,28.971,19.828,1
2018,9,HAR,71.735333,65.366,11.020752,3,6.369333,17.369666,32.483,21.882666,16.538,28.904,19.875,3
2018,9,ERI,84.577,65.479,26.068314,5,19.098,20.0064,38.4488,26.1218,16.568,29.038,19.805,5
2018,10,HAM,96.111333,85.892,16.293169,6,10.219333,29.364666,39.587,27.159666,27.52,34.708,23.643,6
2018,10,VET,97.868571,85.936,18.850589,7,11.932571,30.941714,38.600857,28.326,27.516,34.752,23.636,7
2018,10,RAI,94.842,85.99,13.97808,7,8.852,30.351714,38.187142,26.303142,27.512,34.911,23.567,7
2018,10,BOT,86.7968,86.217,0.765254,5,0.5798,27.7462,34.9514,24.0992,27.572,34.81,23.698,5
2018,10,VER,94.095666,86.602,16.789437,6,7.493666,29.776833,37.6725,26.646333,27.846,35.029,23.656,6
2018,10,RIC,95.736666,87.099,19.976261,6,8.637666,31.030666,39.478,25.228,27.95,35.214,23.805,6
2018,10,MAG,95.815857,87.244,19.439856,7,8.571857,29.529857,39.413,26.873,27.954,35.314,23.976,7
2018,10,GRO,93.5365,87.455,15.33734,8,6.0815,29.797375,38.239875,25.49925,28.015,35.363,23.982,8
2018,10,LEC,95.383714,87.79,19.675079,7,7.593714,30.525285,39.183857,25.674571,28.03,35.45,24.134,7
2018,10,OCO,94.073,87.843,16.249242,8,6.23,29.53025,39.301625,25.241125,27.987,35.716,24.105,8
2018,10,HUL,88.1505,87.901,0.279895,4,0.2495,28.23675,35.794,24.11975,28.158,35.673,24.013,4
2018,10,PER,96.125333,87.928,19.164414,6,8.197333,30.2755,39.2615,26.588333,27.953,35.803,24.172,6
2018,10,ALO,97.6855,88.139,18.822339,4,9.5465,30.978,40.136,26.5715,28.343,35.634,24.104,4
2018,10,GAS,88.8284,88.343,0.542934,5,0.4854,28.4398,36.0016,24.387,28.355,35.78,24.152,5
2018,10,ERI,96.8625,88.249,20.211,6,8.6135,30.789166,39.979166,26.094166,28.217,35.509,24.413,6
2018,10,SAI,99.0745,88.456,20.531645,4,10.618500000000001,30.866,41.3,26.9085,28.25,35.92,24.286,4
2018,10,VAN,99.17175,89.096,19.70263,4,10.07575,31.107,41.59025,26.4745,28.501,36.084,24.331,4
2018,10,SIR,89.252,89.252,0.0,1,0.0,28.316,36.278,24.658,28.316,36.278,24.658,1
2018,11,VET,82.16325,71.212,20.829734,4,10.95125,17.553,37.838,26.77225,15.279,34.159,21.743,4
2018,11,BOT,81.07275,71.416,18.629956,4,9.65675,16.9895,38.338,25.74525,15.419,34.472,21.525,4
2018,11,RAI,80.3845,71.547,16.930089,4,8.8375,17.298,37.0105,26.076,15.461,34.289,21.728,4
2018,11,VER,80.2216,71.822,17.398359,5,8.3996,16.2696,41.0084,22.9436,15.355,34.733,21.734,5
2018,11,MAG,82.0555,72.2,19.0774,4,9.8555,17.412,39.3655,25.278,15.506,34.71,21.984,4
2018,11,GRO,87.929,72.544,26.493598,3,15.385,18.026,42.121333,27.781666,15.558,34.829,22.098,3
2018,11,HUL,72.80075,72.56,0.190552,4,0.24075,15.675,34.86825,22.2575,15.538,34.828,22.104,4
2018,11,SAI,73.279,72.692,0.742002,3,0.587,15.898333000000001,35.020666,22.36,15.685,34.775,22.232,3
2018,11,LEC,85.2226,72.717,27.26422,5,12.5056,17.1298,41.914,26.1788,15.747,34.62,22.229,5
2018,11,PER,72.99,72.774,0.188859,3,0.216,15.670333,34.803,22.516666,15.602,34.744,22.318,3
2018,11,ALO,73.9745,73.657,0.449012,2,0.3175,15.8575,35.463,22.654,15.792,35.332,22.533,2
2018,11,SIR,73.702,73.702,0.0,1,0.0,15.809,35.331,22.562,15.809,35.331,22.562,1
2018,11,ERI,89.603,73.562,31.713711,4,16.041,19.26925,44.83325,25.5005,15.791,35.118,22.64,4
2018,12,HAM,99.165142,91.242,8.698444,7,7.923142,33.592571,35.132,30.440571,30.589,31.45,27.456,7
2018,12,BOT,93.164666,77.123,8.213152000000001,6,16.041666,31.937666,33.537666,27.689333,27.998,27.665,21.46,6
2018,12,RAI,98.300857,77.589,14.783099,7,20.711857,33.826285,35.606285,28.868285,28.201,28.084,21.304,7
2018,12,VET,92.413285,76.666,7.941882,7,15.747285,31.530857,33.600857,27.281571,27.635,27.569,21.462,7
2018,12,SAI,103.314,90.771,10.680657,8,12.543,34.409375,38.4375,30.467125,30.529,31.507,27.765,8
2018,12,GAS,95.417,78.577,8.257299,7,16.84,32.553428,34.648428,28.215142,28.552,28.363,21.662,7
2018,12,VER,94.8935,76.94,9.833291,6,17.9535,32.027833,34.122,28.743666,28.067,27.486,21.387,6
2018,12,HAR,96.941142,78.429,9.215005,7,18.512142,32.554857,35.107142,29.279142,28.484,28.005,21.94,7
2018,12,MAG,95.588166,78.314,9.008493,6,17.274166,32.558333,34.900166,28.129666,28.125,28.229,21.96,6
2018,12,GRO,99.846,93.65,3.186694,6,6.196,33.399166,35.970166,30.476666,31.462,32.317,29.144,6
2018,12,ALO,97.997666,95.214,2.740567,3,2.783666,33.044,34.423666,30.53,32.159,32.936,30.119,3
2018,12,RIC,93.3982,78.54,8.330109,5,14.8582,32.4054,33.1782,27.8146,28.779,27.979,21.782,5
2018,12,HUL,99.581666,96.506,3.179658,3,3.075666,33.119,35.587,30.875666,32.729,33.467,29.632,3
2018,12,ERI,95.04,79.023,9.026785,5,16.017,32.3396,34.3622,28.3382,28.606,28.236,22.181,5
2018,12,STR,79.584,79.584,0.0,1,0.0,28.751,28.347,22.486,28.751,28.347,22.486,1
2018,12,LEC,79.008,79.008,0.0,1,0.0,28.583,28.143,22.282,28.583,28.143,22.282,1
2018,12,OCO,79.142,79.142,0.0,1,0.0,28.462,28.621,22.059,28.462,28.621,22.059,1
2018,12,SIR,80.609,80.609,0.0,1,0.0,29.217,29.128,22.264,29.217,29.128,22.264,1
2018,13,HAM,114.336777,101.553,13.159783000000001,9,12.783777,33.435,49.135,31.766777,30.217,43.115,28.221,9
2018,13,VET,117.912666,101.501,17.271973,9,16.411666,33.542888,51.654666,32.715111,29.872,43.496,28.12,9
2018,13,OCO,117.2475,103.302,17.203873,6,13.9455,33.672,52.029166,31.546333,30.154,44.821,28.327,6
2018,13,PER,108.0765,103.014,9.220687999999999,4,5.0625,31.0985,47.5295,29.4485,29.963,44.663,28.388,4
2018,13,GRO,115.451444,103.042,14.75343,9,12.409444,33.156444,51.782222,30.512777,30.251,44.14,28.481,9
2018,13,RAI,107.104,101.533,10.388878,4,5.571,30.96325,46.97925,29.1615,29.957,43.426,28.135,4
2018,13,VER,112.84275,102.554,11.511092,4,10.28875,32.0735,50.411,30.35825,30.421,43.909,28.224,4
2018,13,RIC,114.668142,103.126,14.406015,7,11.542142,33.188714,51.162,30.317428,30.369,44.429,28.328,7
2018,13,MAG,113.976375,103.32,14.545617,8,10.656375,32.29,51.24725,30.439125,30.238,44.496,28.51,8
2018,13,BOT,102.498,102.191,0.434163,2,0.307,30.4735,43.605,28.4195,30.262,43.521,28.408,2
2018,13,GAS,110.545,103.844,15.132531,6,6.701,31.93,48.700833,29.914166,30.633,44.56,28.645,6
2018,13,HAR,110.8704,103.865,14.357911,5,7.0054,33.0442,48.3258,29.5004,30.41,44.795,28.557,5
2018,13,LEC,109.689666,103.654,13.557556,6,6.035666,32.953166,47.2965,29.44,30.6,44.439,28.503,6
2018,13,ERI,104.54975,103.846,0.619182,4,0.70375,30.92825,44.91575,28.70575,30.532,44.678,28.549,4
2018,13,HUL,104.145,104.145,0.0,1,0.0,30.687,44.859,28.599,30.687,44.859,28.599,1
2018,13,SAI,104.533,104.489,0.062225,2,0.044,30.679,45.0985,28.7555,30.603,44.941,28.718,2
2018,13,ALO,104.9235,104.917,0.009192,2,0.0065,30.7225,45.346,28.855,30.699,45.325,28.804,2
2018,13,SIR,105.424,104.998,0.602454,2,0.426,30.94,45.4175,29.0665,30.824,45.221,28.953,2
2018,13,STR,105.3635,105.134,0.324562,2,0.2295,30.6985,45.796,28.869,30.665,45.65,28.752,2
2018,13,VAN,115.72675,105.307,12.04136,4,10.41975,31.99025,50.6635,33.073,31.066,45.576,28.649,4
2018,14,RAI,88.224363,79.119,11.950702,11,9.105363,28.827636,30.153363,29.243363,26.519,26.594,26.006,11
2018,14,VET,87.9085,79.28,12.996459,10,8.6285,29.4492,29.2125,29.2468,26.604,26.548000000000002,26.128,10
2018,14,HAM,89.7989,79.294,15.557887000000001,10,10.5049,29.901699999999998,30.8586,29.0386,26.479,26.54,26.19,10
2018,14,BOT,86.75,79.656,11.886355,8,7.094,28.15,29.955875,28.644125,26.803,26.52,26.306,8
2018,14,VER,80.7986,80.333,0.404309,5,0.4656,27.0062,27.0544,26.738,26.858,26.854,26.609,5
2018,14,GRO,89.766454,80.936,14.147294,11,8.830454,30.01509,30.500272,29.25109,26.996,27.304,26.636,11
2018,14,SAI,85.448428,81.041,10.269727,7,4.407428,27.886571,28.435714,29.126142,26.939,27.085,26.951,7
2018,14,OCO,85.993142,81.099,12.149304,7,4.894142,27.828,29.456,28.709142,26.868,27.302,26.886,7
2018,14,GAS,88.241833,81.35,11.283689,12,6.891833,29.757333,29.535666,28.948833,27.097,27.241,27.012,12
2018,14,STR,85.122666,81.494,7.868568,6,3.628666,28.499166,28.799833,27.823666,27.119,27.231,27.131,6
2018,14,MAG,93.728666,81.669,13.441,6,12.059666,30.755833,32.764333,30.2085,27.267,27.382,26.988,6
2018,14,SIR,87.221285,81.732,8.95473,7,5.489285,29.202714,29.536285,28.482285,27.193,27.369,27.09,7
2018,14,ALO,82.33975,81.85,0.336367,4,0.48975,27.39,27.70525,27.2445,27.203,27.589,27.058,4
